Count,sender,receiver,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt,transaction_status,payment_method
1,Mashreq Bank,United Arab Bank,38111.53,EUR,MT940,2015,Outgoing,Retail Payment,Central Asia,Middle East,MT,Completed,ACH
2,Barclays,RAK Bank,128668.3,GBP,MT799,2018,Incoming,FX Settlement,Latin America,Middle East,MT,Pending,Wire Transfer
3,Royal Bank of Canada,Emirates NBD,26914.61,EUR,MT103,2023,Outgoing,Retail Payment,Southeast Asia,Middle East,MT,Completed,Wire Transfer
4,Bank of China,First Abu Dhabi Bank,1248.98,USD,MT760,2015,Incoming,Trade Finance,Asia Pacific,Middle East,MT,Failed,ACH
5,BNP Paribas,Bank of Tokyo-Mitsubishi UFJ,6710.04,GBP,MT940,2016,Incoming,Loan Disbursement,Central Asia,Southeast Asia,MT,Failed,Check
6,Dubai Islamic Bank,Emirates NBD,14220.78,USD,MT950,2017,Incoming,Corporate Payment,Latin America,Middle East,MT,Completed,Check
7,Bank of America,Commercial Bank of Dubai,839.24,CNY,MT940,2016,Incoming,Loan Disbursement,Central Asia,Middle East,MT,Completed,ACH
8,Barclays,Mashreq Bank,4601.58,USD,MT202,2023,Outgoing,Treasury Operations,Central Asia,Middle East,MT,Completed,SWIFT
9,First Abu Dhabi Bank,National Bank of Fujairah,6215.93,USD,MT103,2023,Incoming,Trade Finance,Central Asia,Middle East,MT,Pending,SWIFT
10,Emirates NBD,First Abu Dhabi Bank,37429.08,AED,MT700,2021,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,SWIFT
11,Credit Suisse,BNP Paribas,2293.35,USD,MT940,2020,Incoming,FX Settlement,Africa,Southeast Asia,MT,Pending,ACH
12,Barclays,Commercial Bank of Dubai,11463065.0,JPY,MT103,2020,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT,Completed,ACH
13,Dubai Islamic Bank,BNP Paribas,7444.03,EUR,MT700,2020,Outgoing,FX Settlement,Caribbean,Southeast Asia,MT,Completed,Check
14,Bank of America,Mashreq Bank,36291.49,USD,MT799,2015,Outgoing,Retail Payment,Middle East,Middle East,MT,Pending,Wire Transfer
15,BNP Paribas,Morgan Stanley,34186.59,USD,MT799,2020,Incoming,Interbank Settlement,Middle East,Caribbean,MT,Completed,Check
16,Emirates NBD,BNP Paribas,84537.08,USD,MT700,2019,Incoming,Trade Finance,Middle East,North America,MT,Completed,ACH
17,JPMorgan Chase,Abu Dhabi Islamic Bank,22651.91,EUR,MT103,2022,Outgoing,Corporate Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
18,Bank of Tokyo-Mitsubishi UFJ,Credit Suisse,3380.69,USD,MT103,2019,Incoming,Interbank Settlement,Caribbean,Africa,MT,Completed,Wire Transfer
19,Industrial and Commercial Bank of China,Mashreq Bank,24109.12,USD,MT799,2016,Incoming,Trade Finance,North America,Middle East,MT,Completed,Wire Transfer
20,HSBC,Mashreq Bank,753394.47,EUR,MT950,2023,Incoming,FX Settlement,Caribbean,Middle East,MT,Completed,ACH
21,Emirates NBD,RAK Bank,72153.27,USD,MT760,2019,Incoming,Investment,Latin America,Middle East,MT,Failed,Check
22,Bank of China,Emirates NBD,5630.3,USD,MT700,2020,Incoming,FX Settlement,Asia Pacific,Middle East,MT,Pending,Wire Transfer
23,Bank of America,First Abu Dhabi Bank,83388.64,USD,MT940,2023,Incoming,Trade Finance,North America,Middle East,MT,Completed,Check
24,BNP Paribas,Abu Dhabi Commercial Bank,200469.31,AED,MT700,2022,Incoming,Trade Finance,South Asia,Middle East,MT,Completed,Cash
25,UBS,First Abu Dhabi Bank,8617.72,AUD,MT760,2022,Incoming,Trade Finance,Europe,Middle East,MT,Completed,Wire Transfer
26,Abu Dhabi Commercial Bank,Standard Chartered,1005985.0,JPY,MT940,2022,Outgoing,Trade Finance,Asia Pacific,Latin America,MT,Completed,Cash
27,Bank of China,First Abu Dhabi Bank,1435374.0,JPY,MT760,2017,Outgoing,Trade Finance,Central Asia,Middle East,MT,Cancelled,Credit Card
28,Barclays,Royal Bank of Canada,108873.15,USD,MT103,2015,Outgoing,Trade Finance,Europe,Asia Pacific,MT,Completed,SWIFT
29,Wells Fargo,Abu Dhabi Commercial Bank,106300.06,USD,MT103,2021,Incoming,Trade Finance,Africa,Middle East,MT,Completed,SWIFT
